"","Year","TFR_female","State","TFR_male","TFR_adj","HDI","HLI_male","HLI_female","LE_male","LE_female","lag_HDI","lag_HLI_female","lag_HLI_male","lag_LE_female","lag_LE_male","lag_HDI2","lag_HLI_female2","lag_HLI_male2","lag_LE_female2","lag_LE_male2","Division"
"48",2016,1.783,"Illinois",NA,NA,0.93,71.0015069518564,77.2481451787352,76.54,81.68,0.928,77.4631087934999,71.3452647016823,81.61,76.72,0.861184,6000.53322395361,5090.14679535311,6660.1921,5885.9584,"Midwest"
"49",2017,1.733,"Illinois",NA,NA,0.932,70.8529075687156,77.3464240490177,76.46,81.59,0.93,77.2481451787352,71.0015069518564,81.68,76.54,0.8649,5967.27593355495,5041.21398943451,6671.6224,5858.3716,"Midwest"
"50",2018,1.69,"Illinois",NA,NA,0.935,70.9204372701798,77.280312339545,76.54,81.73,0.932,77.3464240490177,70.8529075687156,81.59,76.46,0.868624,5982.46931317047,5020.13451094095,6656.9281,5846.1316,"Midwest"
"51",1969,2.41817029232475,"Indiana",2.753008608156,2.53080209841314,NA,56.1037562051574,65.1863345892729,66.8,74.47,NA,64.0053365712626,56.2620928655641,73.94,66.9,NA,4096.6831096006,3165.42309361336,5467.1236,4475.61,"Midwest"
"52",1970,2.48378392175199,"Indiana",2.80155604633431,2.59682520865401,NA,56.9360274779521,65.5051102487881,67.36,74.69,NA,65.1863345892729,56.1037562051574,74.47,66.8,NA,4249.25821718463,3147.63146032774,5545.7809,4462.24,"Midwest"
"53",1971,2.33547897003857,"Indiana",2.60561949389129,2.51826451074016,NA,57.4665459292806,66.2631269449182,67.56,74.95,NA,65.5051102487881,56.9360274779521,74.69,67.36,NA,4290.91946870588,3241.71122497011,5578.5961,4537.3696,"Midwest"
"54",1972,2.06664028453566,"Indiana",2.29000643643619,2.24979953980895,NA,57.7152359065199,66.8376448753138,67.63,75.12,NA,66.2631269449182,57.4665459292806,74.95,67.56,NA,4390.80199251835,3302.40390104212,5617.5025,4564.3536,"Midwest"
"55",1973,1.93429542542886,"Indiana",2.13518354111864,2.1038706270585,NA,57.7899901564638,66.5513134372068,67.64,75.1,NA,66.8376448753138,57.7152359065199,75.12,67.63,NA,4467.27077247857,3331.04845574524,5643.0144,4573.8169,"Midwest"
"56",1974,1.8742988502664,"Indiana",2.06080285573946,2.03925332285532,NA,59.2377073659661,67.590064144511,68.35,75.8,NA,66.5513134372068,57.7899901564638,75.1,67.64,NA,4429.07732021734,3339.68296228418,5640.01,4575.1696,"Midwest"
"57",1975,1.82516355033116,"Indiana",1.99926339428931,1.99700794370463,NA,60.2432199116672,68.7953483339816,68.92,76.42,NA,67.590064144511,59.2377073659661,75.8,68.35,NA,4568.41677105911,3509.10597397583,5745.64,4671.7225,"Midwest"
"58",1976,1.75089139663267,"Indiana",1.91337843801226,1.94654312891902,NA,60.7394155048252,68.9350070306671,69.2,76.6,NA,68.7953483339816,60.2432199116672,76.42,68.92,NA,4732.79995239387,3629.2455453255,5840.0164,4749.9664,"Midwest"
"59",1977,1.81296017314348,"Indiana",1.97464415955936,2.00995852573647,NA,60.3988273659155,69.4159915938323,69.16,76.86,NA,68.9350070306671,60.7394155048252,76.6,69.2,NA,4752.03519431812,3689.2765958678,5867.56,4788.64,"Midwest"
"60",1978,1.75067948791767,"Indiana",1.8995377022634,1.93241351199739,NA,61.2504414315097,69.9407114255707,69.45,76.96,NA,69.4159915938323,60.3988273659155,76.86,69.16,NA,4818.579888955,3648.01834717767,5907.4596,4783.1056,"Midwest"
"61",1979,1.80702071772111,"Indiana",1.95314986927137,2.02631465508499,NA,61.4190433830686,70.5417448635826,69.82,77.38,NA,69.9407114255707,61.2504414315097,76.96,69.45,NA,4891.70311471496,3751.6165755548,5922.8416,4823.3025,"Midwest"
"62",1980,1.8225819560725,"Indiana",1.95953824726563,2.07086032825154,NA,62.5577963523406,70.78472827729,70.23,77.41,NA,70.5417448635826,61.4190433830686,77.38,69.82,NA,4976.13776839879,3772.29889009127,5987.6644,4874.8324,"Midwest"
"63",1981,1.75285039645242,"Indiana",1.87390270085458,1.95321686291201,NA,63.1056837385716,70.893921186822,70.49,77.55,NA,70.78472827729,62.5577963523406,77.41,70.23,NA,5010.47775728977,3913.47788446092,5992.3081,4932.2529,"Midwest"
"64",1982,1.75230364622479,"Indiana",1.85921931689175,1.88815690426198,NA,63.749861132094,71.5785575977618,71.02,77.96,NA,70.893921186822,63.1056837385716,77.55,70.49,NA,5025.94806124334,3982.32732011262,6014.0025,4968.8401,"Midwest"
"65",1983,1.69985812181411,"Indiana",1.78807614183539,1.80243413326895,NA,63.6288596572109,71.7133254044973,70.94,77.98,NA,71.5785575977618,63.749861132094,77.96,71.02,NA,5123.48990777611,4064.04479436127,6077.7616,5043.8404,"Midwest"
"66",1984,1.69785350566212,"Indiana",1.77311738366116,1.82692631900587,NA,63.943197739622,72.0061600890147,71.18,78.2,NA,71.7133254044973,63.6288596572109,77.98,70.94,NA,5142.80104057132,4048.63178127704,6080.8804,5032.4836,"Midwest"
"67",1985,1.7350396303194,"Indiana",1.79727811875655,1.90324796125856,NA,64.0297496253599,71.9954362760264,71.24,78.17,NA,72.0061600890147,63.943197739622,78.2,71.18,NA,5184.88709076482,4088.7325371684,6115.24,5066.5924,"Midwest"
"68",1986,1.71913260672233,"Indiana",1.77124478207243,1.86657946243467,NA,63.5217635406438,71.9563852287198,70.93,78.15,NA,71.9954362760264,64.0297496253599,78.17,71.24,NA,5183.34284457538,4099.80883708628,6110.5489,5075.1376,"Midwest"
"69",1987,1.72087022130799,"Indiana",1.76622145612679,1.82186811788953,NA,64.5803633159572,72.7405682189496,71.46,78.4,NA,71.9563852287198,63.5217635406438,78.15,70.93,NA,5177.72137518393,4035.01444331347,6107.4225,5031.0649,"Midwest"
"70",1988,1.81348134005445,"Indiana",1.85147462701501,1.85618620927347,NA,64.0822110938743,71.8256633699152,71.39,78.18,NA,72.7405682189496,64.5803633159572,78.4,71.46,NA,5291.19026481567,4170.62332602103,6146.56,5106.5316,"Midwest"
"71",1989,1.87411571167581,"Indiana",1.90188262393946,1.90098946013883,NA,64.9178110546546,72.4803700820832,71.97,78.52,NA,71.8256633699152,64.0822110938743,78.18,71.39,NA,5158.92591852837,4106.52977867987,6112.1124,5096.5321,"Midwest"
"72",1990,1.94686573502326,"Indiana",1.96578812754314,2.00252342775088,0.865,64.9489446113926,72.8496688085196,71.96,78.7,NA,72.4803700820832,64.9178110546546,78.52,71.97,NA,5253.40404723575,4214.32219212784,6165.3904,5179.6809,"Midwest"
"73",1991,1.94554645985988,"Indiana",1.95205690548127,2.04236249000476,0.866,65.3173126376158,72.8693412573645,72.17,78.55,0.865,72.8496688085196,64.9489446113926,78.7,71.96,0.748225,5307.07424551099,4218.36540613375,6193.69,5178.2416,"Midwest"
"74",1992,1.91844470787908,"Indiana",1.91273707403553,2.07103582397134,0.869,65.419691842354,73.6124487877827,72.38,79.03,0.866,72.8693412573645,65.3173126376158,78.55,72.17,0.749956,5309.94089528224,4266.35133020005,6170.1025,5208.5089,"Midwest"
"75",1993,1.92374401610788,"Indiana",1.90865207338305,2.12815880605409,0.873,65.4248931096863,73.2012525503569,72.23,78.64,0.869,73.6124487877827,65.419691842354,79.03,72.38,0.755161,5418.79261653393,4279.73608074856,6245.7409,5238.8644,"Midwest"
"76",1994,1.90240966061485,"Indiana",1.88300422602975,2.10414289899135,0.875,65.845248675005,73.0080659619032,72.43,78.62,0.873,73.2012525503569,65.4248931096863,78.64,72.23,0.762129,5358.42337494113,4280.41663841387,6184.2496,5217.1729,"Midwest"
